search_date,search_time,departure_date,days_before_departure,origin,destination,departure_time,arrival_time,duration_minutes,stops,is_direct,connecting_airports,airline_codes,airline_name,flight_numbers,aircraft,origin_terminal,destination_terminal,min_price,max_price,price_range,num_fare_options,cabin_class,is_refundable,fare_type,checkin_baggage,cabin_baggage,seats_available
2025-08-04,19:04:25,2025-08-31,27,DEL,TRV,2025-08-31T14:10:00,2025-09-01T07:45:00,1055,1,False,BLR,AI,Air India,2819/9874,32N/737,3,1,14256,14374,118,2,Economy,True,Publish,15 KG,7 KG,6
2025-08-04,19:04:25,2025-08-31,27,DEL,TRV,2025-08-31T14:10:00,2025-09-01T17:05:00,1615,1,False,BLR,AI,Air India,2819/9876,32N/320,3,1,14256,14374,118,2,Economy,True,Publish,15 KG,7 KG,6
2025-08-04,19:04:25,2025-08-31,27,DEL,TRV,2025-08-31T17:55:00,2025-09-01T17:05:00,1390,2,False,"MAA,BLR",AI,Air India,2837/526/9876,32N/319/320,3,1,14424,14685,261,2,Economy,True,Publish,15 KG,Included,9
2025-08-04,19:04:25,2025-08-31,27,DEL,TRV,2025-08-31T09:20:00,2025-09-01T07:45:00,1345,2,False,"MAA,BLR",AI,Air India,2467/2823/9874,32N/32N/737,3,1,14482,14992,510,2,Economy,True,SME,15 KG,Included,9
2025-08-04,19:04:25,2025-08-31,27,DEL,TRV,2025-08-31T11:40:00,2025-08-31T20:00:00,500,1,False,BOM,AI,Air India,2945/2655,32N/32N,3,1,14553,14604,51,3,Economy,True,PublishNDC,15 KG,Included,
2025-08-04,19:04:25,2025-08-31,27,DEL,TRV,2025-08-31T14:20:00,2025-08-31T20:00:00,340,1,False,BOM,AI,Air India,2441/2655,321/32N,3,1,14553,14604,51,3,Economy,True,PublishNDC,15 KG,Included,
2025-08-04,19:04:25,2025-08-31,27,DEL,TRV,2025-08-31T09:40:00,2025-09-01T07:45:00,1325,2,False,"CCU,BLR",AI,Air India,2764/9440/9874,32N/320/737,3,1,14554,14699,145,2,Economy,True,Publish,15 KG,7 KG,9
2025-08-04,19:04:25,2025-08-31,27,DEL,TRV,2025-08-31T12:50:00,2025-09-01T07:45:00,1135,2,False,"CCU,BLR",AI,Air India,2767/9440/9874,32N/320/737,3,1,14597,14743,146,2,Economy,True,Publish,15 KG,7 KG,1
2025-08-04,19:04:25,2025-08-31,27,DEL,TRV,2025-08-31T21:00:00,2025-09-01T17:05:00,1205,2,False,"BOM,BLR",AI,Air India,2981/2632/9876,321/32N/320,3,1,14884,15215,331,2,Economy,True,Publish,15 KG,Included,9
2025-08-04,19:04:25,2025-08-31,27,DEL,TRV,2025-08-31T21:30:00,2025-09-01T17:05:00,1175,2,False,"BOM,BLR",AI,Air India,2433/2632/9876,32N/32N/320,3,1,14884,15215,331,2,Economy,True,Publish,15 KG,Included,9
2025-08-04,19:04:25,2025-08-31,27,DEL,TRV,2025-08-31T21:30:00,2025-09-01T21:10:00,1420,2,False,"BOM,BLR",AI,Air India,2433/2632/9872,32N/32N/737,3,1,14884,15215,331,2,Economy,True,Publish,15 KG,Included,9
